GID,starID,RA,DEC,l,b,p,e_p,evpa,e_evpa,FilterID,origin,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
3947248397279260160,10485,184.74679327474672,18.450118934935208,260.5225873201465,78.55127696505552,0.002,0.0003,51.0,4.0,0,external_panopoulou_2025,246.19261,244.90869,247.32903,245.91417,244.79782,246.94327
3947649169267207296,6767,188.78232141709483,18.377162032190192,278.86126675178167,80.47763763282992,0.0008,0.0001,63.0,3.6,0,external_panopoulou_2025,111.86857,110.402245,113.455444,112.19432,110.27135,113.72536
3947710192163740672,10475,187.472826803316,17.909815697478248,273.49359806489434,79.52833630350075,0.0014,0.0002,58.0,3.0,0,external_panopoulou_2025,226.70396,223.15276,230.11922,227.97124,225.16515,230.66112
3948532931806559616,11518,187.0213363945747,18.330640768166,270.28319001429384,79.68968058631975,0.0017,0.0003,66.0,4.0,0,external_panopoulou_2025,335.74063,327.40674,342.28998,334.42923,326.81366,342.19247
3948574854979455616,10445,187.39404473752745,18.82831101730795,270.59415921387784,80.29760087500333,0.0044,0.0004,78.0,3.0,0,external_panopoulou_2025,516.43567,475.25784,569.82153,520.6087,485.51743,553.6587
3948747237786475264,10476,187.3529093655896,19.31534343707705,268.87137790046006,80.6948915641779,0.0018,0.0002,64.0,3.0,0,external_panopoulou_2025,286.76538,285.51172,288.04865,286.91974,285.4982,288.38187
3948751154796651776,11516,187.5360417240259,19.341807268959933,269.7020937818927,80.80775926291575,0.0027,0.0001,60.0,1.0,0,external_panopoulou_2025,408.81036,405.55472,411.10025,408.46014,405.93164,411.12732
3948805374464063744,10447,187.7215846629333,19.891654276439123,268.8033220694222,81.36767802118679,0.0018,0.0002,-90.0,3.0,0,external_panopoulou_2025,589.99225,575.3148,605.60504,586.6923,571.70996,601.0265
3948915222546236928,10481,185.83597203965883,19.65975126637421,260.67969774445913,80.13941458328792,0.0019,0.0004,64.0,6.0,0,external_panopoulou_2025,425.97986,422.2477,430.5502,425.86902,421.51453,430.01773
3949066989511807104,10487,187.0241687071146,20.35439450004905,263.45670450699305,81.37677487617111,0.0014,0.0002,48.0,3.0,0,external_panopoulou_2025,462.6775,456.97238,467.73596,462.88715,457.76874,467.93103
3949475561160534784,6893,187.43029191225077,20.895967030089807,263.2792609338288,82.03792212540813,0.0003,0.0001,39.0,9.5,0,external_panopoulou_2025,82.563324,82.12935,83.01047,82.755554,82.29728,83.144264
3951561575236309120,6869,183.03863464056096,20.54198208549202,247.10607482097205,78.86877156359144,0.0009,0.00032,-50.0,10.1,0,external_panopoulou_2025,110.370514,109.57608,111.444115,110.4639,109.50148,111.32642
3951825148789721472,10470,182.91704785401475,21.31919056158047,243.45575773573367,79.23860548982651,0.0008,0.0003,86.0,6.0,0,external_panopoulou_2025,447.8708,441.03833,454.61456,447.22992,440.83972,454.24002
3952117962479972608,6896,186.65693794906892,20.95220775384171,259.097605780674,81.62291426956912,0.0019,0.0006,60.0,9.0,0,external_panopoulou_2025,467.32904,459.4882,474.90317,467.1619,457.4524,474.4278
3952326491732006144,10486,184.835572116784,21.147036170590987,250.47166390599543,80.55019251485363,0.0006,0.0002,8.0,10.0,0,external_panopoulou_2025,341.1363,307.51468,383.98633,302.05255,274.85458,326.56348
3952621435726273536,10589,187.8901641134584,21.57676397858392,262.6802267033886,82.83855953852218,0.0015,0.0002,79.0,4.0,0,external_panopoulou_2025,92.08653,91.85356,92.35539,92.12288,91.834625,92.38337
3953878757336624384,7075,186.31322150232552,23.9260212052633,239.95193721647902,83.2823245617619,0.0006,0.0002,68.0,9.5,0,external_panopoulou_2025,134.73395,133.85002,135.49619,134.53467,133.7509,135.64505
3954409585229559168,6892,192.06843975153325,20.87922330019477,296.1711430553728,83.70939357561282,0.00263,0.00033,88.6,3.6,0,external_panopoulou_2025,324.18546,311.65704,337.38226,321.13263,309.8642,333.03177
3954430132353974016,6905,191.627989629478,21.052616140095765,292.1916628991228,83.82138022867295,0.0021,0.0004,82.0,5.4,0,external_panopoulou_2025,219.78087,217.78278,222.14975,219.37376,217.4104,221.83961
3954847912411842688,6940,192.4581280123384,21.64084734215838,299.0363421600204,84.50044782448948,0.0022,0.0005,71.0,6.5,0,external_panopoulou_2025,178.2153,177.5255,179.06868,178.00235,177.15442,178.77782
3954879832609313792,11530,193.52082387459296,21.735052367565057,309.4416791472848,84.57333176487063,0.0026,0.0002,71.0,2.0,0,external_panopoulou_2025,203.59572,200.42853,206.89502,204.16747,200.91264,207.56853
3955013182753923840,6939,191.9626130292332,21.63659745764265,294.28261420380346,84.44799778217828,0.0013,0.0003,65.0,6.6,0,external_panopoulou_2025,532.9515,526.37,541.25104,533.52496,526.26227,540.5531
3955257343054729984,7001,192.57256401209543,22.863119489578537,299.381499785132,85.72695322014594,0.0003,0.0002,84.0,18.4,0,external_panopoulou_2025,112.676285,111.49111,113.74028,112.26615,111.30484,113.40327
3955307027237538560,6906,189.780085588556,21.062518514831567,277.42217510514826,83.31545494705558,0.0002,0.0002,11.0,26.6,0,external_panopoulou_2025,83.44557,82.80191,84.06405,83.56941,83.01328,84.20846
3955644886544145024,6952,188.78412717134947,21.88129422630378,266.8141159786105,83.5761977785214,0.0029,0.0005,-86.0,4.9,0,external_panopoulou_2025,187.37244,184.53975,190.19087,187.51265,185.06989,189.85052
3955790468755645440,6990,189.758867313479,22.659412701252656,270.0809917059901,84.7204249519609,0.0003,0.00032,-42.0,28.1,0,external_panopoulou_2025,125.911064,125.60551,126.173035,125.88125,125.55108,126.2923
3956984087415933440,7046,195.6274036759952,23.499534899885933,338.12157415694355,85.59266439180321,0.0005,0.0001,78.0,5.7,0,external_panopoulou_2025,157.95222,157.2629,158.82062,157.64143,156.90637,158.47339
3957822950359491840,7099,191.9972026469849,24.09561934087493,288.36307452764544,86.86931203874937,0.0018,0.00035,25.0,5.6,0,external_panopoulou_2025,204.13481,203.24368,205.20209,204.02296,203.10948,204.99075
3958524541856989952,10596,194.0216691594018,26.0219560053515,346.40771825505567,88.48204519778726,,0.0003,,,0,external_panopoulou_2025,261.86417,260.41428,263.26987,261.8857,260.70544,263.17664
3958719258494268288,6987,188.7125201348698,22.629307200604952,262.13593962460794,84.13646950196184,0.0002,0.00032,-63.0,38.7,0,external_panopoulou_2025,109.0274,105.9669,113.13238,108.57214,105.03369,112.72725
3959201359982704768,7115,188.69020987760555,24.22419436696664,249.711616431509,85.2516652801057,0.0034,0.0004,-16.3,3.4,0,external_panopoulou_2025,362.72226,357.16214,367.93677,363.08215,356.85312,369.78497
3959212286380277632,7124,188.39252210704848,24.28294418702869,247.2036271148759,85.07168751090087,0.00046,0.00013,37.0,8.0,0,external_panopoulou_2025,85.08566,84.76243,85.382996,85.06938,84.77162,85.42696
3959853576537169536,7103,187.36258815879484,24.108927749508783,243.06820661364256,84.1974049742895,0.0002,0.0003,-44.0,36.9,0,external_panopoulou_2025,60.31144,60.073223,60.602215,60.3765,60.121838,60.585495
3959914084036392832,7116,186.89484690135976,24.2273498668169,239.96732074861302,83.89288267599127,0.0025,0.00066,-53.3,7.5,0,external_panopoulou_2025,372.2751,370.15924,374.56964,372.65247,370.40485,374.97916
3959940781553194240,10452,187.90594888811864,24.21709186822164,244.94578022024746,84.67108483301503,0.0013,0.0003,54.0,7.0,0,external_panopoulou_2025,910.7821,887.0959,943.2923,902.6987,875.1495,942.3665
3959965486205062528,7162,187.75227445791788,24.56712552519047,240.92698558608268,84.73917159128312,0.00074,0.00021,18.6,8.1,0,external_panopoulou_2025,82.46054,81.688866,83.27143,82.42542,81.6361,83.26462
3960386392999869568,7247,188.43077002714344,25.175830807091582,238.10026206179066,85.57156489841688,0.003,0.0008,11.0,7.6,0,external_panopoulou_2025,598.56024,593.0455,604.5589,600.313,594.66394,605.48413
3961239132987142016,7315,190.8981781150965,25.780446095905727,250.00054479926334,87.78650300491599,0.0008,0.00076,36.4,25.4,0,external_panopoulou_2025,463.49268,460.0565,467.52573,465.65903,462.12137,469.14014
3967421686869541632,28403,170.723797907288,15.53262790664516,237.845491010309,66.40376359014421,,0.00022,,,0,external_panopoulou_2025,274.98148,273.2482,276.64783,274.65924,272.91147,276.5881
3972411339355935360,28434,174.4908392926814,15.776898606782666,242.84415887948296,69.52105694380234,0.001,0.00021,37.0,6.0,0,external_panopoulou_2025,345.071,333.4916,357.07724,341.29553,331.80222,353.186
3973002807892080512,11508,176.26619538096028,17.159900981309654,242.52436720831506,71.71191480275355,0.0006,0.0001,59.0,5.0,0,external_panopoulou_2025,269.65396,267.90527,271.7505,270.03482,268.02322,272.06656
3973470065974214784,6670,173.6770032009834,16.79691467702758,239.17892562738933,69.46866119067138,0.0,0.002,0.0,90.0,0,external_panopoulou_2025,307.9796,300.41687,315.6962,303.45767,296.17953,310.84537
3975181868140265216,10454,179.85119464322702,19.55735460843506,242.57960058409876,75.8739069970768,,0.0002,,,0,external_panopoulou_2025,281.26282,273.9177,289.11908,280.38614,272.44125,287.67804
