Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_20,2460459.3841,0.17,0.04,49.23,7.34,-0.025,0.046,0.16999999999999998,0.042,197.4529,21.41339,3943371484919989504,444.47614,440.26263,448.60117,8.239242262476465,4.169270000000012,0.009380188551853451,0.02036882063641004
Mark_0,2460507.29355,1.84,0.07,65.1,1.11,-1.185,0.086,1.401,0.058,194.58873,21.12631,3942609523362045312,454.57196,450.51486,458.419,8.28801321509644,3.952069999999992,0.00869404703272941,0.01887888325860861
Mark_123,2460461.33009,0.41,0.06,36.22,4.15,0.123,0.052,0.38999999999999996,0.059000000000000004,185.54079,19.79519,3951930117790328960,469.7889,465.60196,474.60095,8.359513756059583,4.499494999999996,0.009577695428734045,0.020797701370245975
Mark_243,2460438.30622,0.4,0.07,47.89,4.72,-0.041,0.086,0.402,0.065,178.97321,16.09546,3926048988461803392,471.0949,465.6669,476.65698,8.365542013296384,5.495039999999989,0.011664401376453,0.025328925762491163
Mark_259,2460461.31939,0.51,0.07,52.2,3.96,-0.127,0.067,0.49300000000000005,0.06999999999999999,185.06711,18.59069,3947245682859954560,476.76694,423.62003,559.014,8.39153066451913,67.69698500000001,0.14199177694661466,0.3083312260177605
Mark_119,2460460.43713,0.31,0.07,39.27,6.83,0.062,0.058,0.307,0.07200000000000001,199.39124,20.75375,3940418127968198656,479.17987,475.40512,482.67694,8.402492826835866,3.6359099999999955,0.00758777700741059,0.01647664842115394
Mark_26_merged,2460829.36353,0.19,0.01,67.72,2.09,-0.133,0.012,0.13,0.015,191.36523,19.06019,3936120858568898944,482.413,475.37354,488.49133,8.417095012992487,6.558895000000007,0.013596016276509975,0.02952337422377539
Mark_66,2460460.42529,0.52,0.07,62.03,3.91,-0.29,0.074,0.428,0.068,199.0128,20.92477,3940477535955812224,490.5023,486.46906,494.35477,8.453205240791524,3.9428549999999802,0.008038402674156635,0.017455169623512845
Mark_68,2460459.40742,0.2,0.06,31.23,8.96,0.092,0.052,0.17600000000000002,0.06,199.40179,21.88462,3943644473041445248,491.17834,488.05133,494.29596,8.4561960351089,3.122314999999986,0.006356784788189126,0.013803582780785341
Mark_236,2460459.343,0.2,0.06,15.9,9.61,0.17099999999999999,0.064,0.106,0.059000000000000004,189.40477,22.63134,3955799157473550976,497.67053,493.4668,501.53543,8.484709621870445,4.034315000000021,0.008106397218256064,0.017602817900022393
Mark_275,2460459.31923,0.16,0.07,12.68,14.98,0.147,0.07200000000000001,0.06999999999999999,0.076,184.08626,18.35714,3950225428090483968,497.78534,493.56302,502.0689,8.485210511474808,4.252939999999995,0.008543722882638518,0.018552458514202258
Mark_144,2460461.40938,0.27,0.06,67.86,6.98,-0.193,0.062,0.188,0.064,195.69051,20.66197,3943271669880088448,502.33038,497.3389,507.51144,8.504947221351022,5.086269999999985,0.01012534818220627,0.02198691421440652
Mark_83,2460460.30471,0.39,0.06,36.56,4.51,0.11399999999999999,0.1,0.374,0.055999999999999994,184.34114,19.05303,3950335344893535616,507.19623,504.16638,510.55478,8.525880083829326,3.194199999999995,0.006297759744783582,0.013675411527559704
Mark_295,2460461.34499,0.3,0.04,49.47,4.03,-0.047,0.041,0.299,0.042,185.76147,19.00018,3947372843955729536,516.5426,509.09735,525.1518,8.565530721069178,8.027224999999987,0.015540296192414696,0.03374532441753908
Mark_74,2460459.39503,0.18,0.07,38.76,13.03,0.039,0.049,0.174,0.073,198.03603,21.6534,3943592108799973120,534.3572,530.03687,538.25024,8.639158327537558,4.10668499999997,0.007685280557649396,0.01668837469032739
Mark_81,2460830.37877,0.18,0.06,-11.38,9.84,0.169,0.062,-0.07100000000000001,0.034,188.01074,18.02063,3947726341240852352,551.0192,543.87274,558.78485,8.705833659492829,7.456054999999992,0.013531388742896786,0.029383037317639263
Mark_151,2460461.43247,0.27,0.05,55.18,5.47,-0.093,0.047,0.25,0.05,197.65523,20.61476,3943072757058707840,553.38336,548.26196,557.81573,8.71513047976347,4.776884999999993,0.008632144269751792,0.01874446311672989
Mark_24_merged,2460804.89869,0.18,0.05,30.95,8.28,0.087,0.07200000000000001,0.163,0.043,189.4734,18.62513,3948040114370324992,555.52606,549.73535,561.53534,8.723522183609765,5.89999499999999,0.010620554866498953,0.02306224186635611
Mark_238,2460460.32343,0.22,0.1,60.9,15.92,-0.116,0.105,0.187,0.104,184.89882,17.43383,3946557044983708544,557.6075,551.1063,563.59247,8.731643032647657,6.243085000000008,0.011196199835906097,0.024312239035100554
