# GID   RA    DEC     l     b     RP
3947290792900428672 185.61534 18.53669 263.60702 79.12555 11.55
3972305373922180608 174.25673 15.47786 243.13858 69.16125 10.28
3926582011083609856 179.92549 17.12649 250.17630 74.41297 12.32
3950225428090483968 184.08626 18.35714 258.45385 78.07592 12.26
3947271590102586880 185.66374 18.43422 264.12315 79.07007 12.41
3926134784728480256 178.80257 16.72225 248.69603 73.34119 10.54
3947857973398722048 188.53156 18.73540 276.65205 80.71116 11.97
3947958063316547968 188.29208 19.25974 273.91652 81.08404 9.67
3955949893645779840 190.94275 22.86305 280.35920 85.39484 11.60
3943314791351751296 196.00069 21.20325 329.40461 83.41918 11.01
3954711023214738688 191.05409 21.70998 285.67342 84.33813 12.17
3947963011118897792 188.47319 19.33691 274.68160 81.23013 12.43
3940516667402643328 199.64702 20.95893 349.50112 81.25834 12.10
3942841176718145408 193.86810 21.30298 312.11662 84.10265 12.14
3955922203993146240 190.97514 22.45796 282.41275 85.02654 12.05
3954922095087046784 193.49825 22.01966 309.55446 84.85852 10.87
3947992246959480064 189.67937 18.54489 283.43929 80.93143 10.80
3943450203080467200 196.73454 21.68843 336.72437 83.51713 11.93
3942175078829916800 192.14723 19.79486 297.69504 82.63763 12.16
3949501743281195648 187.70242 21.07855 263.95786 82.33690 11.25
3955762190691024128 190.04770 22.58038 273.03678 84.78591 11.32
3949012563686304256 187.21248 20.11445 265.34339 81.28759 11.54
3951981107642044928 185.26663 19.91669 257.36012 79.98187 12.47
3947372843955729536 185.76147 19.00018 262.69655 79.57907 11.70
3947854296906713088 188.46481 18.58146 276.69173 80.54488 11.91
3940624733074959360 199.78589 21.63083 353.34143 81.63550 12.09
3951968738136265344 185.86821 20.17248 258.83728 80.54975 10.08
3956153135794129920 190.24536 22.95119 272.81497 85.19865 10.95
3936122507836844160 191.55118 19.14096 294.10125 81.92284 10.36
3944154818235478272 195.39290 21.76202 326.72501 84.15970 9.58
3950422824787515520 185.33888 19.54846 259.04153 79.75223 11.38
3955424571902457088 189.77141 21.90349 274.00678 84.06846 10.78
3936125359695546496 191.32959 19.15580 292.61490 81.90469 9.66
3926185293544329216 179.28236 16.80997 249.53594 73.74385 10.93
3955637396121242240 189.42787 22.26397 269.54096 84.22320 11.60
3954187758759011584 191.25285 19.86747 291.13177 82.59154 11.19
3973353960122615168 173.14359 16.22173 239.71978 68.72357 11.96
3947864295590605184 188.82060 18.63834 278.44904 80.73260 12.27
3925117117997723776 180.15356 15.65528 254.55007 73.54308 12.26
