Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_118,2460461.40406,0.42,0.06,58.27,3.84,-0.00189,0.00068,0.00378,0.00052,195.64954,20.84596,3943279194662795648,325.59927,83.22102,12.19,0.0,True,True
Mark_119,2460460.43713,0.31,0.07,39.27,6.83,0.00062,0.00058,0.00307,0.00072,199.39124,20.75375,3940418127968198656,347.4284,81.27029,12.33,0.0,True,True
Mark_121,2460460.33245,0.45,0.04,52.44,2.77,-0.00117,0.00038,0.0044,0.00044,184.94878,18.51457,3947243724354865280,261.07207,78.72195,10.79,0.0,True,True
Mark_122,2460432.38738,0.19,0.08,30.57,13.4,0.00091,0.00078,0.00165,0.00077,184.34711,19.69882,3950652038602110336,254.72583,79.2267,12.04,0.0,True,True
Mark_123,2460461.33009,0.41,0.06,36.22,4.15,0.00123,0.00052,0.0039,0.00059,185.54079,19.79519,3951930117790328960,258.93705,80.06317,12.35,0.0,True,True
Mark_124,2460460.29936,0.68,0.05,45.65,2.31,-0.00015,0.00079,0.00684,0.00055,180.18828,16.48499,3925376701525135744,252.5379,74.15659,12.2,0.0,True,True
Mark_127,2460459.4265,0.17,0.06,3.72,10.59,0.00173,0.0006,0.00023,0.00036,199.97675,21.85439,1442634851362334976,355.30181,81.65097,10.28,0.0,True,True
Mark_128,2460461.3976,0.28,0.06,27.93,6.37,0.00157,0.00057,0.00232,0.00062,195.46991,20.37368,3941748743196409984,322.95272,82.83602,12.47,0.0,True,True
Mark_131,2460459.41224,0.14,0.05,34.46,10.52,0.00051,0.00055,0.00131,0.00046,199.4996,21.72981,3940638747552387840,352.58711,81.898,11.32,0.0,True,True
Mark_132,2460460.38516,0.5,0.06,55.9,3.39,-0.00185,0.00077,0.00464,0.00055,196.40727,21.11963,3943304479134361472,331.99618,83.17564,10.9,0.0,True,True
Mark_141,2460460.3276,0.3,0.05,50.75,4.96,-0.0006,0.00022,0.00295,0.00052,184.92867,18.98709,3950362725309458048,259.43224,79.07405,11.9,0.0,True,True
Mark_144,2460461.40938,0.27,0.06,67.86,6.98,-0.00193,0.00062,0.00188,0.00064,195.69051,20.66197,3943271669880088448,325.33646,83.03573,11.79,0.0,True,True
Mark_149,2460461.36106,0.22,0.03,55.22,4.49,-0.00078,0.00047,0.0021,0.00032,187.94492,18.38639,3947754103909441152,274.53781,80.15642,10.07,0.0,True,True
Mark_150,2460460.41163,0.28,0.04,61.06,4.48,-0.00147,0.00038,0.00234,0.00044,198.06357,21.00644,3943483635105976192,341.84571,82.25287,10.84,0.0,True,True
Mark_151,2460461.43247,0.27,0.05,55.18,5.47,-0.00093,0.00047,0.0025,0.0005,197.65523,20.61476,3943072757058707840,337.88631,82.14994,11.99,0.0,True,True
Mark_154,2460461.42809,0.38,0.06,56.85,4.54,-0.00153,0.00083,0.00349,0.00053,197.63448,20.63803,3943075780715683840,337.85982,82.18003,11.86,0.0,True,True
