#GID   RA    DEC     l     b     RP
3952128540980000000  185.98085  20.72870  256.99041  81.03268  11.72
3950481854820000000  185.06535  19.83050  256.90123  79.79012  10.99
3954438889790000000  191.85310  21.23108  293.87262  84.03189  11.59
3947857973400000000  188.53156  18.73540  276.65205  80.71116  11.97
3925803861790000000  180.32607  16.76062  252.14673  74.44330  11.84
3947169747840000000  185.45242  18.20629  263.97716  78.76773  11.22
3942777435110000000  194.20181  21.14241  314.77816  83.89028  11.54
3948744656510000000  187.45279  19.28512  269.46662  80.71855  11.39
3946910331810000000  185.99672  17.75775  267.46031  78.69085  8.72
3954299290470000000  191.22609  20.60993  289.68670  83.31301  12.36
3954949033120000000  193.06091  22.02872  305.03181  84.89718  10.63
3942150271100000000  191.36810  19.47682  292.47901  82.22722  12.19
3948839699840000000  186.36226  19.23808  264.47307  80.10894  11.40
3947848902430000000  188.38713  18.55815  276.34467  80.49293  9.03
3942782387210000000  193.98224  21.10127  312.81608  83.88665  11.20
3947771902250000000  187.48872  18.24133  272.70653  79.82875  10.38
3942726758790000000  193.31677  20.81695  306.81471  83.67490  11.28
3949050015800000000  186.66219  20.12769  262.59835  80.99020  12.38
3946944519750000000  185.16162  17.73055  264.25270  78.22017  12.45
3955932958590000000  190.97311  22.60893  281.78683  85.16773  11.97
3944124547310000000  195.11383  21.43646  323.25710  83.94910  12.12
3948327671020000000  188.74937  19.37803  276.11423  81.38077  11.67
3949204973930000000  188.30093  20.23812  270.77457  81.94601  11.52
3943205832330000000  195.91307  20.42222  326.18688  82.73602  12.05
3950240168420000000  184.18044  18.49607  258.33630  78.23933  11.25
3947094740530000000  186.22256  18.39862  266.55412  79.34433  11.60
3943277060060000000  195.55765  20.77103  324.69445  83.18204  12.05
3967314170950000000  172.69043  15.88089  239.81886  68.17176  11.70
3955817402490000000  189.97003  22.86396  270.75446  84.99631  11.58
3943577127950000000  198.32007  21.59244  346.03534  82.55984  12.39
3948449819890000000  190.02591  20.15043  281.94173  82.55589  11.60
3954847225220000000  192.52234  21.60600  299.67796  84.46923  12.31
3949293866860000000  189.19812  20.79125  274.33350  82.83526  12.30
3955395808510000000  189.93510  21.56386  276.72891  83.83139  11.52
3948747237790000000  187.35291  19.31534  268.87136  80.69489  9.57
3940428848210000000  199.14597  20.82810  346.61132  81.47788  12.45
3956202029700000000  190.23010  23.07504  271.93220  85.29959  11.82
3954896703240000000  193.27184  21.89216  307.11759  84.75050  12.44
3926192680890000000  179.67728  16.81602  250.43287  74.02842  12.08
3942826573830000000  194.50005  21.59433  318.39013  84.26808  12.37
3958710702920000000  189.07307  22.65018  264.62854  84.35732  10.62
3942452258840000000  194.00073  20.36222  311.94430  83.15395  11.79
