#name,ra,dec,filter,utc,exposure,repetitions,free_exp,observed,skipped
Mark_232,186.62331,19.53539,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_233,184.23959,18.59977,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_234,198.82893,21.44806,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_235,190.11290,21.79784,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_236,189.40477,22.63134,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_237,189.01572,21.62057,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_238,184.89882,17.43383,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_239,192.86182,20.50454,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_240,184.34970,19.55028,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_241,187.65913,18.56756,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_242,197.93190,20.97835,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_243,178.97321,16.09546,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_244,188.12941,21.10091,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_245,179.55417,16.23754,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_246,191.57536,22.28882,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_247,189.75674,21.01896,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_248,174.27348,15.68174,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_249,187.29474,18.63226,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_250,190.99931,19.70843,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_251,187.36690,21.40331,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_252,191.02480,19.41516,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_253,187.72806,17.88821,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_254,190.04453,22.32329,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_255,192.24844,20.18809,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_256,178.80675,16.90822,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_257,188.25940,19.99869,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_258,191.66212,20.48947,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_259,185.06711,18.59069,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_260,194.29060,20.54089,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_261,173.92517,16.22557,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_262,190.94083,22.93393,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_263,197.93994,21.26627,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_264,172.38141,16.22388,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_265,186.99651,19.93155,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_266,193.88101,22.27974,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_267,191.54379,19.82033,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_268,188.96674,20.68209,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_269,185.14743,18.55286,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_270,193.07767,20.53966,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_271,191.32678,19.91517,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_272,185.61534,18.53669,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_273,174.25673,15.47786,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_274,179.92549,17.12649,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_275,184.08626,18.35714,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_276,185.66374,18.43422,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_277,178.80257,16.72225,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_278,188.53156,18.73540,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_279,188.29208,19.25974,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_280,190.94275,22.86305,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_281,196.00069,21.20325,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_282,191.05409,21.70998,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_283,188.47319,19.33691,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_284,199.64702,20.95893,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_285,193.86810,21.30298,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_286,190.97514,22.45796,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_287,193.49825,22.01966,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_288,189.67937,18.54489,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_289,196.73454,21.68843,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_290,192.14723,19.79486,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_291,187.70242,21.07855,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_292,190.04770,22.58038,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_293,187.21248,20.11445,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_294,185.26663,19.91669,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_295,185.76147,19.00018,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_296,188.46481,18.58146,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_297,199.78589,21.63083,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_298,185.86821,20.17248,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_299,190.24536,22.95119,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_300,191.55118,19.14096,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_301,195.39290,21.76202,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_302,185.33888,19.54846,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_303,189.77141,21.90349,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_304,191.32959,19.15580,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_305,179.28236,16.80997,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_306,189.42787,22.26397,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_307,191.25285,19.86747,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_308,173.14359,16.22173,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_309,188.82060,18.63834,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_310,180.15356,15.65528,R,2024-05-16T23:00:00,16,6,False,False,False
