starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
158,121406355952875520,52.293203877690665,31.36637179914899,14.61073,2.0,0.0,121406360248113920,52.29341705984647,31.366399964040006,14.624392
160,121414812743740928,52.49895747931009,31.504992452714994,13.332717,1.0,0.0,121414812743740928,nan,nan,nan
162,121340733147897344,52.574827393614484,31.116312765759684,9.686062,1.0,0.0,121340733147897344,nan,nan,nan
163,121392062300963584,52.238429974951615,31.23859721656286,9.680346,2.0,0.0,121392066596043008,52.23811833802556,31.238895114946345,14.639179
165,121031873459621248,51.918841793143606,31.260875943226115,9.893173,1.0,0.0,121031873459621248,nan,nan,nan
168,124430219086983424,51.92226289560399,31.64596226135055,10.12157,1.0,0.0,124430219086983424,nan,nan,nan
172,121406738205233152,52.32806260334157,31.390343135711174,14.443909,1.0,0.0,121406738205233152,nan,nan,nan
175,121427250969025536,52.586572693469115,31.579915204636,14.045988,1.0,0.0,121427250969025536,nan,nan,nan
176,121439276877453824,52.561451652501404,31.610440827741943,13.567697,1.0,0.0,121439276877453824,nan,nan,nan
179,121392238395650688,52.30168515911431,31.24895941982625,14.396694,1.0,0.0,121392238395650688,nan,nan,nan
180,121393784583875456,52.34118583652959,31.260023850049457,14.555713,1.0,0.0,121393784583875456,nan,nan,nan
181,121009367831002624,52.15560471330787,30.96258972862039,12.814093,1.0,0.0,121009367831002624,nan,nan,nan
182,121014418712534400,52.12425244704199,31.11560911257669,14.606288,1.0,0.0,121014418712534400,nan,nan,nan
183,121393578425442816,52.39294204806337,31.295336784772548,14.967317,1.0,0.0,121393578425442816,nan,nan,nan
184,121407013083143936,52.26611203414784,31.36348075129501,15.415469,1.0,0.0,121407013083143936,nan,nan,nan
185,121408937228493568,52.15397919192405,31.386642623023285,15.218478,1.0,0.0,121408937228493568,nan,nan,nan
186,124413765068914432,52.06994791475621,31.51570306674635,14.291371,1.0,0.0,124413765068914432,nan,nan,nan
187,124415654854523776,52.073633426999436,31.57503393844434,15.168446,1.0,0.0,124415654854523776,nan,nan,nan
188,121417698961765504,52.311088284773696,31.550196220231566,14.853424,1.0,0.0,121417698961765504,nan,nan,nan
189,121420172862923904,52.34266812732593,31.62443876424522,16.005743,1.0,0.0,121420172862923904,nan,nan,nan
190,124423420155390976,52.28520339411366,31.718539045902727,13.24965,1.0,0.0,124423420155390976,nan,nan,nan
191,121444774435589760,52.4215481517921,31.74361281045887,13.406208,1.0,0.0,121444774435589760,nan,nan,nan
193,121401137567874688,52.481970242355075,31.430729287088674,15.217691,1.0,0.0,121401137567874688,nan,nan,nan
194,121393750224130688,52.428463787253705,31.33742629345348,14.83524,1.0,0.0,121393750224130688,nan,nan,nan
195,121399866257556864,52.523299462636544,31.372637210549073,13.506689,1.0,0.0,121399866257556864,nan,nan,nan
196,121389249098409344,52.508699595097426,31.225752439835162,14.9013195,1.0,0.0,121389249098409344,nan,nan,nan
197,121389695775010688,52.41854081383193,31.212954688524757,15.249514,1.0,0.0,121389695775010688,nan,nan,nan
198,121388321385478272,52.483457568418615,31.1459273482563,12.501772,1.0,0.0,121388321385478272,nan,nan,nan
199,121390623487200512,52.311885140994896,31.15773168108124,17.232115,1.0,0.0,121390623487200512,nan,nan,nan
200,121014487432011648,52.223361187500075,31.056701901971326,15.854224,1.0,0.0,121014487432011648,nan,nan,nan
201,121010604781576704,52.32862559985979,31.007070413101218,15.700414,1.0,0.0,121010604781576704,nan,nan,nan
202,121013147402219264,52.137461258944334,31.03772104305815,15.058122,1.0,0.0,121013147402219264,nan,nan,nan
203,121012322768504192,52.10969088574292,30.967473819606006,12.88328,1.0,0.0,121012322768504192,nan,nan,nan
208,124037732091640704,51.981037650712835,31.434048640060986,15.0465975,1.0,0.0,124037732091640704,nan,nan,nan
209,124041992699197696,51.87156783594118,31.492644919831093,15.06467,1.0,0.0,124041992699197696,nan,nan,nan
210,124429536188794368,51.8494613521808,31.575281300244455,13.256244,1.0,0.0,124429536188794368,nan,nan,nan
211,124415173818185472,52.156936612412046,31.579381311947284,15.5025215,1.0,0.0,124415173818185472,nan,nan,nan
212,121440651266985088,52.58415737646398,31.68312358069411,14.294554,1.0,0.0,121440651266985088,nan,nan,nan
214,3314328822401984768,67.8158272574226,18.33521645844871,14.429278,1.0,0.0,3314328822401984768,nan,nan,nan
215,3314324321276386816,67.85455595105576,18.271232824656447,10.154241,1.0,0.0,3314324321276386816,nan,nan,nan
219,3314312982562712576,68.03045008029694,18.240897696258845,15.759461,1.0,0.0,3314312982562712576,nan,nan,nan
220,3314308275278568064,67.9964960002942,18.17749452205394,15.433558,1.0,0.0,3314308275278568064,nan,nan,nan
221,3314306656074415360,68.01498405249372,18.101021379075263,13.811305,1.0,0.0,3314306656074415360,nan,nan,nan
