EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
4687418936243179136,34297,17.05681593010242,-72.66818727918334,17.466953,4048,46,3,0,0.01781,0.00137,58.8,nan,10509.426,6846.0264,17451.19,4911.124,4497.276,5332.6113
4687418936243180288,34262,17.029745566053737,-72.66781668727259,18.48079,4013,46,3,0,0.02806,0.00463,-26.6,nan,5887.278,4233.71,9362.225,10946.204,7081.2153,14516.429
4687418936293278720,34326,17.066847236959482,-72.65998809120703,19.076588,4077,46,3,0,0.00843,0.00141,57.4,nan,3318.2314,2459.1416,4656.142,7609.6943,6311.797,9929.757
4687418940562515968,34277,17.041219861447114,-72.66125353032733,17.599586,4028,46,3,0,0.01996,0.00585,78.7,nan,6202.6284,4648.5356,8685.054,6340.8564,4303.601,8981.549
4687418970603090944,34415,17.11843972201602,-72.65465360870465,17.818945,4166,46,3,0,0.0097,0.00272,78.6,nan,8230.592,6116.352,11648.498,8607.924,6601.536,13827.7705
4687418970604953216,34400,17.112056970899076,-72.65569840157902,16.478264,4151,46,3,0,0.00445,6e-05,21.2,nan,10533.862,7879.5645,14773.697,10463.244,7629.551,13776.033
4687418970653009152,34420,17.124962668579624,-72.65021224956257,17.837418,4171,46,3,0,0.00777,0.00053,78.6,nan,13910.101,11380.022,17188.945,14310.919,7964.93,18212.51
4687418974922245760,34356,17.087327417159596,-72.6537438488453,16.223095,4107,46,3,0,0.0072,0.00061,-41.2,nan,6067.477,4757.132,8622.691,4985.779,4128.9214,6211.307
4687418974922247296,34381,17.10000634035055,-72.65567010158385,17.984728,4132,46,3,0,0.01409,0.00321,-84.2,nan,8279.656,5137.898,11376.126,13812.15,11459.497,16613.129
4687418974922249088,34383,17.099673733167606,-72.65802976870954,15.68286,4134,46,3,0,0.01748,0.00106,-49.8,nan,18212.713,13747.397,22328.168,10162.955,9248.448,11072.79
4687419004997212160,34157,16.96624799339784,-72.66774361010619,18.565474,3908,46,3,0,0.02579,0.00044,-14.9,nan,2156.2458,1600.4075,3128.2124,2651.993,2305.408,3077.6697
4687419009282003072,34143,16.96092420318562,-72.66697215386938,18.055565,3894,46,3,0,0.00368,0.00014,-40.4,nan,4669.4004,3525.3257,6121.2334,7625.91,5735.9233,12912.498
4687419039324638208,34214,17.001406500269606,-72.66002520262718,19.43103,3965,46,3,0,0.00103,0.00019,-56.3,nan,7499.054,4168.781,9554.631,4715.77,3989.2756,5870.549
4687419043641736320,34208,17.002306252075687,-72.66472509253423,17.101772,3959,46,3,0,0.00466,0.00099,-32.1,nan,7995.1406,6013.372,11959.099,5380.4478,4633.891,6353.427
4687419043641739904,34169,16.974207994374986,-72.66654369809923,16.102322,3920,46,3,0,0.01624,0.00308,67.2,nan,18390.041,13452.043,25669.223,16402.037,10604.478,26899.91
4687419073682205824,34123,16.949439101364067,-72.66160533213922,18.598227,3874,46,3,0,0.0087,0.00165,-88.7,nan,4700.1567,3414.888,6823.792,5851.901,3773.277,6857.2275
4687419073732270848,34111,16.942392286416386,-72.66151375343202,20.719799,3862,46,3,0,0.01985,0.00135,-33.7,nan,635.17053,415.9506,1214.1178,651.1162,615.4347,712.3591
4687419077975622144,34134,16.95518944891277,-72.66605261609273,18.415388,3885,46,3,0,0.0185,0.00129,84.9,nan,5095.696,3743.0425,6894.882,6412.734,4244.2505,20930.344
4687419078001471744,34115,16.94515724673982,-72.66064738184298,16.181738,3866,46,3,0,0.00841,0.00062,-71.2,nan,11685.271,9042.906,15330.895,13689.185,11088.723,19818.13
4687419108041984000,34184,16.985926674614177,-72.65645675168837,17.622942,3935,46,3,0,0.01086,0.00037,84.9,nan,14310.634,9774.614,22391.043,14912.015,13864.333,16352.1455
4687419108042041344,34213,17.005887434498668,-72.64890024196104,17.946512,3964,46,3,0,0.0141,0.00415,-40.9,nan,9694.537,6307.592,18410.44,7379.532,5953.353,9900.028
4687419112336088448,34183,16.985821090023794,-72.65872895988915,17.17656,3934,46,3,0,0.01465,0.00142,-71.8,nan,16791.295,12914.075,24629.564,25106.39,21078.188,27435.525
4687419112361201664,34154,16.968512065931634,-72.651714559556,17.161198,3905,46,3,0,0.00563,0.00127,-86.2,nan,9036.223,6535.464,12940.042,5594.819,4526.98,7663.164
4687419112361205888,34135,16.956159305962963,-72.65597117533959,16.008146,3886,46,3,0,0.00697,0.00087,86.0,nan,2155.7808,2015.888,2318.5183,2098.2546,1943.46,2300.4487
4687419112361209472,34168,16.974952921357232,-72.6612078951966,16.034153,3919,46,3,0,0.00564,0.00036,-86.6,nan,18747.36,13450.462,24401.355,9112.935,7957.6035,10469.12
4687419112361620352,34201,16.997218257821114,-72.64674221523273,18.737701,3952,46,3,0,0.02069,0.00095,17.4,nan,3895.8826,2718.4846,5699.55,3097.2776,2567.6711,4196.671
4687419112361620480,34197,16.995026454352708,-72.64989407826755,16.167503,3948,46,3,0,0.00931,0.00127,82.8,nan,19423.879,13283.2705,26291.545,13296.768,11642.195,15363.948
4687419112361620608,34205,16.99772511745574,-72.65193049367582,17.020044,3956,46,3,0,0.00407,0.00043,41.8,nan,10748.421,7326.4077,14481.942,9853.889,8645.754,11863.337
4687419142451728000,34289,17.045586993373725,-72.65628932309504,19.743546,4040,46,3,0,0.00316,0.00023,-65.1,nan,2178.0408,1465.8159,3176.2832,715.1506,669.61316,1628.9165
4687419146695055104,34301,17.05743090489934,-72.64395632299842,18.968737,4052,46,3,0,0.01178,0.00064,-41.3,nan,7944.34,5413.405,10017.85,7531.6357,4120.6313,10996.164
4687419146720933888,34285,17.04613450481997,-72.64802802314058,20.32851,4036,46,3,0,0.00548,0.00053,-64.3,nan,2053.2275,1149.8741,3532.3237,nan,nan,nan
4687419146720940544,34243,17.02136974389196,-72.65437501121204,17.464985,3994,46,3,0,0.01136,0.00194,60.5,nan,12350.104,9068.592,16457.13,14778.368,9302.832,20940.752
4687419176761566848,34404,17.11393758134855,-72.64287921902357,15.655674,4155,46,3,0,0.00523,0.00044,-78.7,nan,566.4874,558.5087,576.13184,568.44836,559.61835,575.685
