Name,ra,dec,p_percent,sigma_p_percent,FilterID,sample,r_med_photogeo,distance_class,ebv,ebv_err,ipix
Mark_301,195.3929,21.76202,0.1662357574603954,0.0350536231955193,-1,RoboPol,,robopol,0.037087597,0.000472655,28697503
Mark_302,185.33888,19.54846,0.27293816226311385,0.08817037510059594,-1,RoboPol,,robopol,0.06232704,0.0014182157,28743109
Mark_305,179.28236,16.80997,0.24265847076452646,0.04401474231800767,-1,RoboPol,,robopol,0.088325985,0.0028881708,28566757
Mark_307,191.25285,19.86747,0.29425391906283527,0.05168778661005425,-1,RoboPol,,robopol,0.05006627,0.0007594922,28770502
Mark_308,173.14359,16.22173,0.027157349123253714,0.0934300231765423,-1,RoboPol,,robopol,0.119860254,0.004253915,28909955
Mark_310,180.15356,15.65528,0.8786162869940505,0.06600403185207263,-1,RoboPol,,robopol,0.10728044,0.0035032923,28558985
48770,183.30470416184707,10.819032667163745,0.002,0.0011,20,Panopoulou+2025,36.549053,foreground,0.19845954,0.0068806782,28423783
28555,178.41974314986447,8.572232281497461,0.16999999999999998,0.049,0,Panopoulou+2025,273.43008,background,0.4400866,0.018322999,28463232
28542,178.53297159561322,9.892686678079654,0.16,0.051000000000000004,0,Panopoulou+2025,246.87984,background,0.4544406,0.014104317,28466326
28512,176.0133497182429,10.336877522575302,0.09,0.022000000000000002,0,Panopoulou+2025,255.28534,background,0.33332002,0.012488033,28470760
28475,174.1779388090721,11.669730961566536,0.06,0.017,0,Panopoulou+2025,242.17197,background,0.18976705,0.008560437,28495758
28472,175.1488204288846,12.806114308420415,0.13,0.021,0,Panopoulou+2025,198.33307,middle,0.18380728,0.008198152,28505116
6476,180.2645876427815,13.008253816943036,0.13999999999999999,0.058,0,Panopoulou+2025,251.41362,background,0.16222166,0.007776905,28521311
11501,181.89957175000745,13.516943255955974,0.09,0.02,0,Panopoulou+2025,242.54944,background,0.12911816,0.0053364607,28527502
11490,184.83416295686447,14.541417843704286,0.13,0.04,0,Panopoulou+2025,264.9919,background,0.11778396,0.0040347064,28530271
6566,184.0004067103691,14.89892987587069,0.03,0.12,0,Panopoulou+2025,64.992836,foreground,0.12000958,0.004476105,28531899
6584,184.4345726215761,15.144510043875044,0.1,0.032,0,Panopoulou+2025,188.76927,middle,0.13380276,0.0050327317,28532148
11511,181.29042116298612,13.472895501559286,0.12,0.03,0,Panopoulou+2025,551.6934,background,0.110304065,0.0046447734,28532869
11539,177.72185449364792,13.587392627710466,0.13999999999999999,0.02,0,Panopoulou+2025,161.14172,middle,0.18189679,0.007898963,28542897
6531,177.16081290591993,14.284247166272074,0.03,0.032,0,Panopoulou+2025,67.12887,foreground,0.17286623,0.0064820885,28544974
11528,178.22241492616868,13.744228193491136,0.06999999999999999,0.01,0,Panopoulou+2025,326.11285,background,0.188445,0.008099551,28545586
11500,178.46401724071018,14.02961404083988,0.13999999999999999,0.05,0,Panopoulou+2025,123.94288,foreground,0.15120861,0.0067935963,28545835
11515,178.6390068988038,14.151199045090603,0.06,0.02,0,Panopoulou+2025,80.966255,foreground,0.18389075,0.0075522754,28545896
11522,178.15922606561523,14.21480507550011,0.12,0.03,0,Panopoulou+2025,146.71312,foreground,0.1764556,0.0075098053,28547167
11521,178.10310206381217,14.458645358864231,0.16,0.03,0,Panopoulou+2025,700.707,background,0.14301339,0.0057703517,28547480
11514,178.8461997906847,15.111475603652767,0.18,0.01,0,Panopoulou+2025,161.6323,middle,0.16277744,0.0061161043,28548508
11517,176.59803061855186,14.124021163901643,0.18,0.03,0,Panopoulou+2025,350.68854,background,0.1526413,0.005936005,28550241
28467,176.29733715080485,14.263318729638684,0.15,0.021,0,Panopoulou+2025,190.181,middle,0.14468156,0.005853775,28550332
11509,177.27108994842857,15.231325092464534,0.06999999999999999,0.02,0,Panopoulou+2025,110.649055,foreground,0.13864101,0.0053673987,28554003
11505,178.19277804247474,15.436046229493073,0.0,0.04,0,Panopoulou+2025,101.32141,foreground,0.14697793,0.0056892326,28554327
11527,176.34153021311457,15.728960089233786,0.16,0.02,0,Panopoulou+2025,178.40732,middle,0.124314755,0.005085759,28555867
11496,177.25763022979115,16.132495859706214,0.16,0.02,0,Panopoulou+2025,130.01952,foreground,0.13386649,0.0053057396,28556498
6640,177.31179444015234,16.242637380215136,0.03,0.032,0,Panopoulou+2025,61.869736,foreground,0.13597068,0.005615635,28556680
11510,179.2752461830664,15.184031052746048,0.27999999999999997,0.02,0,Panopoulou+2025,166.0425,middle,0.13259904,0.0047284877,28559369
11502,178.91893523107814,15.646827758921887,0.32,0.02,0,Panopoulou+2025,129.2394,foreground,0.101782195,0.0034911842,28559929
11491,181.1768797819049,16.26891660156005,0.24,0.03,0,Panopoulou+2025,161.16095,middle,0.11000435,0.0041285236,28561995
6671,182.6317265027292,16.809279468662897,0.13,0.032,0,Panopoulou+2025,191.3115,middle,0.088235624,0.0034149098,28562752
11512,178.48456518694869,15.908434490388842,0.21,0.02,0,Panopoulou+2025,224.65979,background,0.12304591,0.0049167043,28565550
11513,178.35460499784614,15.98350394229992,0.11,0.02,0,Panopoulou+2025,126.36507,foreground,0.12072554,0.0047942125,28565665
11519,179.7685299209624,17.352018202584407,0.08,0.04,0,Panopoulou+2025,245.04283,background,0.10137225,0.0035752167,28569786
10595,193.98793799711515,16.22774259451418,0.08,0.03,0,Panopoulou+2025,318.11862,background,0.073162675,0.0018419973,28605677
10482,186.6244814371768,14.571973890347971,0.08,0.02,0,Panopoulou+2025,268.82275,background,0.08792321,0.0024369,28617163
10460,189.21235037126868,15.222803908883744,0.16,0.03,0,Panopoulou+2025,653.9561,background,0.07050435,0.0021871328,28619794
10461,189.4387291424501,15.57576633961243,0.15,0.03,0,Panopoulou+2025,416.40918,background,0.08129083,0.0025741155,28620071
10483,187.8460202504528,16.22067579094846,0.21,0.03,0,Panopoulou+2025,435.01358,background,0.14026237,0.0043162927,28621789
6659,191.6615742646648,16.57775849104139,0.02,0.032,0,Panopoulou+2025,93.21275,foreground,0.10720334,0.0035191274,28626421
6631,193.1143503274924,16.12242911944763,0.02,0.032,0,Panopoulou+2025,110.701385,foreground,0.08267833,0.0022670662,28627216
6683,193.0510772752133,17.07391551054429,0.13,0.032,0,Panopoulou+2025,325.29642,background,0.0736086,0.0018432982,28628679
10592,189.7879026688024,16.479823280170343,0.11,0.02,0,Panopoulou+2025,98.150955,foreground,0.07467091,0.0021324866,28631844
6684,189.2428748001843,17.089457101211003,0.22,0.02,0,Panopoulou+2025,171.96861,middle,0.08769264,0.0024610963,28633875
10484,189.7581349052605,17.43717232629993,0.16999999999999998,0.02,0,Panopoulou+2025,273.2564,background,0.07341684,0.0017814628,28634348
10446,190.0930565997092,18.33996569686603,0.1,0.02,0,Panopoulou+2025,387.02548,background,0.07966342,0.0023903644,28637922
6643,194.92890899100504,16.287310056823454,0.27999999999999997,0.06999999999999999,0,Panopoulou+2025,706.58325,background,0.1256398,0.004540705,28648078
10560,196.4314170880693,18.53836268435251,0.2,0.02,0,Panopoulou+2025,142.96205,foreground,0.07184308,0.0018772514,28654428
10571,200.11293912521225,19.690938819307068,0.16999999999999998,0.04,0,Panopoulou+2025,143.17215,foreground,0.045746926,0.00024966893,28662495
6824,199.1338782920936,19.785421332335048,0.13,0.02,0,Panopoulou+2025,94.98691,foreground,0.06705339,0.0025351075,28665701
