# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_36         2460459.36626     0.12   0.22    3.36   61.44  0.00117  0.00217  0.00014  0.00212
Mark_36         2460459.36663     0.33   0.22    9.22   26.32  0.00308  0.00217  0.00103  0.00212
Mark_36         2460459.36700     0.33   0.22   36.49   25.59  0.00097  0.00222  0.00318  0.00217
Mark_36         2460459.36737     0.30   0.22  -83.12   61.44 -0.00289  0.00223 -0.00071  0.00217
Mark_36         2460459.36774     0.23   0.22   59.12   61.44 -0.00107  0.00225  0.00199  0.00217
Mark_36         2460459.36811     0.01   0.22   39.79   61.44  0.00003  0.00226  0.00014  0.00219
Mark_41         2460459.31309     0.41   0.20   58.95   16.98 -0.00191  0.00206  0.00361  0.00200
Mark_41         2460459.31340     0.67   0.20   44.41    9.06  0.00014  0.00205  0.00673  0.00200
Mark_41         2460459.31373     0.20   0.20  -38.96   61.44  0.00042  0.00206 -0.00194  0.00200
Mark_41         2460459.31404     0.37   0.20   73.55   19.54 -0.00313  0.00205  0.00203  0.00200
Mark_41         2460459.31435     0.84   0.20   30.61    7.15  0.00404  0.00206  0.00736  0.00200
Mark_41         2460459.31466     0.36   0.20   51.62   20.44 -0.00082  0.00206  0.00346  0.00200
Mark_41         2460459.31498     0.41   0.20   57.07   16.62 -0.00169  0.00206  0.00378  0.00200
Mark_41         2460459.31529     0.29   0.20   47.37   27.23 -0.00024  0.00206  0.00293  0.00200
Mark_43         2460426.35697     0.33   0.60  -69.07   61.44 -0.00248  0.00618 -0.00222  0.00570
Mark_43         2460426.35718     0.70   0.59   18.83   61.44  0.00556  0.00596  0.00429  0.00569
Mark_43         2460426.35738     1.42   0.59  -35.35   13.54  0.00469  0.00623 -0.01339  0.00585
Mark_43         2460426.35787     0.80   0.64    2.77   61.44  0.00796  0.00640  0.00077  0.00593
Mark_43         2460426.35808     0.69   0.57  -23.09   61.44  0.00474  0.00593 -0.00494  0.00550
Mark_43         2460426.35829     1.68   0.59  -85.50   10.94 -0.01659  0.00588 -0.00263  0.00556
Mark_43         2460426.35867     1.66   0.55  -37.93   10.27  0.00405  0.00576 -0.01608  0.00547
Mark_44         2460438.44095     0.43   0.25   43.57   21.83  0.00021  0.00257  0.00425  0.00251
Mark_44         2460438.44122     0.54   0.25   37.29   15.85  0.00143  0.00258  0.00518  0.00252
Mark_44         2460438.44148     0.13   0.26   78.70   61.44 -0.00124  0.00261  0.00052  0.00255
Mark_44         2460438.44175     0.26   0.26   10.82   61.44  0.00246  0.00256  0.00098  0.00250
Mark_44         2460438.44201     0.29   0.26   80.12   61.44 -0.00271  0.00259  0.00097  0.00253
Mark_44         2460438.44228     0.16   0.25  -59.27   61.44 -0.00079  0.00259 -0.00145  0.00253
Mark_44         2460438.44255     0.57   0.26   66.57   14.79 -0.00392  0.00258  0.00418  0.00252
Mark_44         2460438.44281     0.34   0.25   52.28   61.44 -0.00086  0.00256  0.00333  0.00250
Mark_44         2460438.44308     0.26   0.25   33.18   61.44  0.00104  0.00257  0.00239  0.00251
Mark_44         2460438.44359     0.39   0.25   18.45   25.57  0.00310  0.00255  0.00232  0.00250
Mark_44         2460438.44385     0.19   0.26  -87.75   61.44 -0.00191  0.00256 -0.00015  0.00249
Mark_44         2460438.44412     0.55   0.26   72.39   15.68 -0.00448  0.00257  0.00316  0.00251
Mark_44         2460438.44439     0.47   0.26   69.18   19.51 -0.00349  0.00258  0.00311  0.00251
Mark_44         2460438.44465     0.31   0.26   75.35   61.44 -0.00273  0.00258  0.00153  0.00252
